,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
370,Crash,2004,66.0,7.7,66.0,423447,54.58
371,Rosemary's Baby,1968,96.0,8.0,96.0,198597,
372,Do the Right Thing,1989,93.0,8.0,93.0,92798,27.55
373,Falling Down,1993,56.0,7.6,56.0,175810,40.9
374,The Hunt for Red October,1990,58.0,7.6,58.0,184313,122.01
375,Walk the Line,2005,72.0,7.8,72.0,237610,119.52
376,Edward Scissorhands,1990,74.0,7.9,74.0,453738,56.36
377,Blood Diamond,2006,64.0,8.0,64.0,508554,57.37
378,Creed,2015,82.0,7.6,82.0,252538,109.77
379,Chinatown,1974,92.0,8.2,92.0,300916,8.49
380,Aladdin,1992,86.0,8.0,86.0,379931,217.35
381,The Others,2001,74.0,7.6,74.0,343812,96.52
382,Halloween,1978,87.0,7.7,87.0,237130,47.0
383,Gifted,2017,60.0,7.6,60.0,103934,24.8
384,My Cousin Vinny,1992,68.0,7.6,68.0,110813,52.93
385,The Lego Movie,2014,83.0,7.7,83.0,328612,257.76
386,Raatchasan,2018,,8.5,,30447,
387,The Butterfly Effect,2004,30.0,7.6,30.0,457707,57.94
388,The Theory of Everything,2014,72.0,7.7,72.0,414490,35.89
389,The Skin I Live In,2011,70.0,7.6,70.0,142105,3.19
390,Monty Python and the Holy Grail,1975,91.0,8.2,91.0,508216,1.23
391,The Count of Monte Cristo,2002,61.0,7.7,61.0,130950,54.23
392,Life of Pi,2012,79.0,7.9,79.0,590528,124.99
393,The Machinist,2004,61.0,7.7,61.0,364317,1.08
394,Gone Baby Gone,2007,72.0,7.6,72.0,254856,20.3
395,Boyz n the Hood,1991,76.0,7.8,76.0,129062,57.5
396,As Good as It Gets,1997,67.0,7.7,67.0,280408,148.48
397,Gravity,2013,96.0,7.7,96.0,780116,274.09
398,Young Frankenstein,1974,80.0,8.0,80.0,145668,86.3
399,Man on Fire,2004,47.0,7.7,47.0,334539,77.91
400,Dangal,2016,,8.4,,164323,12.39
401,Magnolia,1999,77.0,8.0,77.0,293587,22.46
402,Lethal Weapon,1987,68.0,7.6,68.0,240762,65.21
403,In the Mood for Love,2000,85.0,8.1,85.0,130500,2.73
404,A Little Princess,1995,83.0,7.7,83.0,32714,10.02
405,Fantastic Mr. Fox,2009,83.0,7.9,83.0,206557,21.0
406,It's a Wonderful Life,1946,89.0,8.6,89.0,413132,
407,Mr. Nobody,2009,63.0,7.8,63.0,220353,0.0
408,Gran Torino,2008,72.0,8.1,72.0,730897,148.1
409,Just Mercy,2019,68.0,7.6,68.0,52098,
410,The King's Speech,2010,88.0,8.0,88.0,648863,138.8
411,In the Heat of the Night,1967,75.0,7.9,75.0,69228,24.38
412,Arsenic and Old Lace,1943,,8.0,,65966,
413,The Florida Project,2017,92.0,7.6,92.0,99184,5.9
414,The Great Escape,1963,86.0,8.2,86.0,228884,12.1
415,Bridge of Spies,2015,81.0,7.6,81.0,293380,72.31
416,Million Dollar Baby,2004,86.0,8.1,86.0,646669,100.49
417,District 9,2009,81.0,7.9,81.0,645342,115.65
418,Straight Outta Compton,2015,72.0,7.8,72.0,183898,161.2
419,A Silent Voice: The Movie,2016,78.0,8.2,78.0,55212,
420,Barry Lyndon,1975,89.0,8.1,89.0,153751,
421,Gattaca,1997,64.0,7.8,64.0,285331,12.34
422,Breakfast at Tiffany's,1961,76.0,7.6,76.0,169862,
423,The Fault in Our Stars,2014,69.0,7.7,69.0,350138,124.87
424,The Bourne Ultimatum,2007,85.0,8.0,85.0,610186,227.47
425,The Royal Tenenbaums,2001,76.0,7.6,76.0,271862,52.36
426,Toy Story 3,2010,92.0,8.2,92.0,771116,415.0
427,Battle Royale,2000,81.0,7.6,81.0,171568,
428,The Holy Mountain,1973,76.0,7.9,76.0,38560,0.06
429,In Bruges,2008,67.0,7.9,67.0,396060,7.76
430,The French Connection,1971,94.0,7.7,94.0,112878,15.63
431,Midnight Cowboy,1969,79.0,7.8,79.0,102990,44.79
432,October Sky,1999,71.0,7.8,71.0,84646,32.48
433,Primal Fear,1996,47.0,7.7,47.0,194347,56.12
434,Traffic,2000,86.0,7.6,86.0,198534,124.12
435,Road to Perdition,2002,72.0,7.7,72.0,251007,104.45
436,Groundhog Day,1993,72.0,8.0,72.0,587165,70.91
437,The Secret in Their Eyes,2009,80.0,8.2,80.0,197250,6.39
438,Cinderella Man,2005,69.0,8.0,69.0,178528,61.65
439,Tumbbad,2018,,8.3,,32216,
440,Shoplifters,2018,93.0,7.9,93.0,66681,3.31
441,North by Northwest,1959,98.0,8.3,98.0,304364,13.28
442,The Raid: Redemption,2011,73.0,7.6,73.0,193660,4.11
443,Mad Max 2: The Road Warrior,1981,77.0,7.6,77.0,169226,12.47
